AHNE,006388F4,"0437 - Spy Hunter (U).gba","",006388AC
ATFP,0022A7DC,"0439 - Total Soccer Manager (E).gba","",
AFUJ,0008B6BC,"0441 - Youkaidou (J).gba","",0008B68C
ACKE,000CC240,"0442 - Backyard Baseball (U).gba","",000CC210
AGSI,000FC684,"0443 - Golden Sun (I).gba","",
ATCX,0036BC48,"0444 - GT Championship (E).gba","",0036BC18
AEPP,002083EC,"0445 - Sheep (E).gba","",002083D4
AH3J,004A1318,"0448 - Tottoko Ham Tarou 3 (J).gba","",
AC6E,003A9BBC,"0450 - Spirit - Stallion Of The Cimarron (U).gba","",
AMHE,0017681C,"0452 - Bomberman Max 2 Blue Advance (U).gba","",001767F8
AMYE,00176974,"0453 - Bomberman Max 2 Red Advance (U).gba","",00176950
AAEE,0024F348,"0456 - Hey Arnold! The Movie (U).gba","",0024F294
ACHJ,0019E1DC,"0460 - Castlevania - White Night Concerto (J).gba","",0019E1AC
ALTE,006530F0,"0462 - Disney's Lilo & Stitch (U).gba","",006530B4
AP8E,000B8404,"0463 - Scooby-Doo - The Motion Picture (U).gba","",0003FB14
AZEP,005532D8,"0464 - Zone of the Enders - The Fist of Mars (E).gba","",005532A8
AT3F,00162B34,"0467 - Tony Hawk's Pro Skater 3 (F).gba","",
AE2E,000209E8,"0468 - MegaMan Battle Network 2 (U).gba","",00020994
AMRJ,002B1774,"0470 - Motocross Maniacs Advance (J).gba","",002B1760
ANQE,0036F3F8,"0472 - Nicktoons Racing (U).gba","",0036F3BC
ABYX,0025B338,"0474 - Britney's Dance Beat (E).gba","",
AD7P,0002D6B0,"0478 - Droopys Tennis Open (E).gba","",0002D680
APDE,0002596C,"0480 - The Pinball of the Dead (U).gba","",00025930
AGWE,0009ED00,"0481 - GT Advance 2 - Rally Racing (U).gba","",0009ECD0
AMRP,0027C68C,"0484 - Maniac Racers Advance (E).gba","",0027C678
ADQP,0056B9A0,"0486 - Dokapon - Monster Hunter (E).gba","",0056B970
ATEP,00242D20,"0487 - Pro Tennis WTA Tour (E).gba","",00242CC0
ALTP,0065588C,"0488 - Disney's Lilo & Stitch (E).gba","",00655850
AGFJ,001C4530,"0489 - Ougon no Taiyou - Shitsu Warate Jidai (J).gba","",
AY7J,009E19A8,"0493 - Yu-Gi-Oh! Duel Monsters 7 - Kettou Toshi Densetsu (J).gba","",009E1924
AZOJ,00025A20,"0494 - The Pinball of the Dead (J).gba","",000259E4
AB8J,000582F4,"0495 - Beyblade - Ikuze! Gekitou! Chou Jiryoku Battle! (J).gba","",001769A4
APLP,003C8BD8,"0496 - Pinball Challenge Deluxe (E).gba","",
ANFJ,00126CEC,"0499 - Monster Gate (J).gba","",00126B6C
A6DJ,004842F4,"0502 - Disney Sports Soccer (J).gba","",004822F4
ACJJ,000A26AC,"0503 - Choh Makai-Mura R (J).gba","",000A267C
AFWJ,000E59D4,"0504 - Final Fire Pro Wrestling (J).gba","",000E598C
A2BJ,002926E0,"0505 - Bubble Bobble - Old & New (J).gba","",00292680
ATTP,00281154,"0507 - Tiny Toon Adventures - Busters Bad Dream (E).gba","",
ARJJ,000451B8,"0509 - Custom Robo GX (J).gba","",
AB2P,000CE9CC,"0510 - Breath of Fire 2 (E).gba","",000CE948
AKAJ,00050710,"0511 - Shaman King 2 (J).gba","",
AGVJ,00042F90,"0512 - Ghost Trap (J).gba","",00042F3C
AX3E,00715CF0,"0517 - xXx (U).gba","",
AWTF,000F91B4,"0518 - La Famille De La Jungle - A La Poursuite De Darwin (F).gba","",0002DDF4
AXSP,003022B4,"0520 - ESPN X-Games - Skateboarding (E).gba","",0030228C
AP6J,0006419C,"0521 - Pinobee & Phoebee (J).gba","",00064154
AFAJ,001AA530,"0522 - Fushigi no Kuni no Angelique (J).gba","",001AA464
